               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079608,            0.029381,                   0,              0.1923,             0.20879,             0.14188,            0.058099,            0.020986,            0.018113,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.061766,            0.026043,                   0,             0.29439,             0.72527,             0.34732,             0.11853,            0.018708,            0.014272,                   0,            0.064823,           0.0038228,           0.0038228
                   2,            0.045767,            0.023021,                   0,             0.17769,              0.3956,              0.2026,            0.035648,            0.025984,            0.011987,                   0,            0.046666,           0.0056664,           0.0056664
                   3,            0.044633,            0.021149,                   0,             0.52515,             0.72527,             0.64876,             0.19175,            0.029833,           0.0067573,                   0,            0.028431,           0.0074307,           0.0074307
                   4,            0.042669,            0.019746,                   0,             0.21457,             0.27473,             0.15271,            0.024271,            0.031398,           0.0047335,                   0,            0.010116,           0.0091159,           0.0091159
                   5,            0.044192,            0.016948,                   0,             0.77879,             0.73626,              0.6901,             0.14848,            0.023923,           0.0072536,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.037214,            0.016138,                   0,             0.55303,             0.76923,              0.7596,             0.37642,            0.014395,           0.0057136,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.039051,            0.015137,                   0,             0.93885,             0.87912,             0.96732,             0.67676,            0.011627,           0.0056593,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.032198,            0.014946,                   0,             0.98181,             0.97802,             0.98651,             0.71344,            0.013006,           0.0039578,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033044,            0.014873,                   0,             0.97782,             0.96879,              0.9876,             0.65951,            0.012127,           0.0038686,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.032487,            0.014612,                   0,             0.99601,             0.98901,             0.99014,             0.54405,            0.010852,           0.0036986,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.027693,            0.014276,                   0,             0.99136,             0.97802,             0.98986,             0.52321,            0.011167,           0.0034628,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.027887,             0.01399,                   0,             0.99619,             0.98901,             0.99155,             0.60733,           0.0095998,           0.0029752,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.029992,            0.013416,                   0,                   1,             0.98712,             0.99429,             0.60838,            0.011584,           0.0026246,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.02808,            0.012519,                   0,             0.99787,                   1,               0.995,             0.70988,           0.0085726,           0.0025405,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.027813,            0.012273,                   0,             0.99788,             0.98901,             0.99489,              0.7186,           0.0080637,           0.0025413,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.023882,            0.011919,                   0,                   1,              0.9966,               0.995,             0.70711,           0.0081159,           0.0024475,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.024596,            0.010941,                   0,                   1,             0.99673,               0.995,             0.74268,           0.0077019,            0.002273,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.028259,            0.011136,                   0,             0.99936,                   1,               0.995,             0.77922,           0.0066623,           0.0022694,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.025276,            0.010462,                   0,             0.99993,                   1,               0.995,             0.74347,            0.009117,           0.0021768,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.023722,            0.010679,                   0,                   1,              0.9999,               0.995,             0.75535,           0.0066137,           0.0020319,                   0,            0.006238,            0.006238,            0.006238
